Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"8811-1","Bionicle","Warriors",2004,"Toa Lhikan and Kikanalo",,214,9.99,30,,,,673419061452,28.8,28.8,7.2,0.62,"",0,0,0,,0,0,,,,,,,,,171.5800,84.2800,"19/10/2004","31/12/2005"
"9024-1","Education","Soft bricks",2004,"LEGO Soft Imagination Set",,74,201,240,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"9040-1","Education","Duplo",2004,"Learning Games Set",4,94,79,89,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"9089-1","Education","Duplo",2004,"Tubes Experiment Set",4,153,73,71,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"9132-1","Education","Duplo",2004,"Community Transport Set",9,50,44.81,52,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"9203-2","Dacta","Duplo",2004,"Tech Machines",6,117,,105,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"9230-1","Education","Duplo",2004,"Town Set",8,215,67,62,,,5702014452114,,,,,2.13,"",0,0,0,,0,0,,,,,,,,,81.0300,,"",""
"9274-1","Education","",2004,"Doors and Windows",,270,21.87,28.25,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,63.6900,45.3800,"",""
"9540-1","Education","Duplo",2004,"Early Maths 4+ Numbers Set",4,112,62.1,81,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,40.0000,36.5400,"",""
"9541-1","Education","Duplo",2004,"Early Maths 4+ Measurement Set",4,101,57.7,76,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"9542-1","Education","Duplo",2004,"Early Maths 4+ Shape & Space Set",,132,57.7,76,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,137.5000,,"",""
"9546-1","Education","Duplo",2004,"Mosaics Set",,260,73.63,69,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"9761-1","Education","FIRST LEGO League Challenge",2004,"No Limits Challenge Kit",,1436,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"9889-1","Mindstorms","1.0",2004,"Temperature Sensor",,1,24.67,25,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,6.5200,13.0600,"",""
"9911-1","Mindstorms","1.0",2004,"Touch Sensor and Leads",,3,10.41,12,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,12.9600,,"",""
"10081-1","Clikits","",2004,"Heart Birthday Pack",,70,4.5,6,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,5.9500,,"",""
"10082-1","Clikits","",2004,"Daisy Birthday Pack",,70,4.5,6,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,11.7300,,"",""
"10083-1","Clikits","",2004,"Star Birthday Pack",,70,4.5,6,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"10116-1","Clikits","",2004,"Heart Accessories",,50,,5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,29.8800,,"",""
"10117-1","Clikits","",2004,"Daisy Accessories",,50,,5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,29.8800,,"",""
"10118-1","Clikits","",2004,"Star Accessories",,50,,5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,29.8800,,"",""
"10131-1","Star Wars","Legends",2004,"TIE Fighter Collection",4,682,64.99,70,,,5702014369344,,57.6,38.4,9.6,,"",0,0,0,,0,0,,,,,,,,,312.6800,174.0600,"01/08/2004","31/07/2006"
"10132-1","Harry Potter","Prisoner of Azkaban",2004,"Motorised Hogwarts Express",4,708,89.99,120,,,5702014369337,673419034876,57.6,38.4,9.6,2.58,"",0,0,0,,0,0,,,,,,,,,1068.8400,507.2000,"06/04/2004","31/12/2005"
"10133-1","Trains","9V",2004,"Burlington Northern Santa Fe (BNSF) Locomotive",2,407,24.99,40,,,,,28.6,19,7,,"",0,0,0,,0,0,,,,,,,,,472.0900,396.2300,"11/10/2004","31/07/2006"
"10134-1","Star Wars","Ultimate Collector Series",2004,"Y-wing Attack Starfighter",1,1473,109.99,120,,,5702014369313,673419034890,57.6,38.4,9.6,,"",0,0,0,,0,0,,,,,,,,,539.9900,305.0100,"01/10/2004","31/07/2006"
"10135-1","Clikits","Seasonal",2004,"Holiday Decoration Kit",,283,24.99,35,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"10145-1","Bulk Bricks","",2004,"Assorted Light Grey Bricks",,62,,5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,25.4400,12.0000,"",""
"10146-1","Bulk Bricks","",2004,"Assorted Dark Grey Bricks",,63,,5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,17.4500,,"",""
"10147-1","Bulk Bricks","",2004,"Assorted Brown Bricks",,62,,5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,18.0600,,"",""
"10148-1","Bulk Bricks","",2004,"Assorted Light Grey Plates",,42,,5,,,5702014428720,,,,,,"",0,0,0,,0,0,,,,,,,,,13.9900,12.0000,"",""
"10149-1","Bulk Bricks","",2004,"Assorted Dark Grey Plates",,42,,5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,18.1800,,"",""
"10150-1","Bulk Bricks","",2004,"Assorted Brown Plates",,42,,5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,20.5000,,"",""
"10151-1","Model Team","",2004,"Hot Rod",,421,26.99,40,,,5702014428607,673419057905,33.6,24,6,,"",0,0,0,,0,0,,,,,,,,,256.0000,99.7900,"10/05/2004","31/07/2005"
"10152-1","Advanced models","Maersk",2004,"Maersk Sealand Container Ship",,988,,75,,,,673419058261,,,,,"",0,0,0,,0,0,,,,,,,,,249.4500,133.8400,"",""
"10156-1","Town","Special",2004,"LEGO Truck",1,105,8.99,15,,,5702014433977,,19.2,9.6,6,,"",0,0,0,,0,0,,,,,,,,,48.3800,39.1900,"01/06/2004","31/07/2005"
"10157-1","World City","Trains",2004,"High Speed Train Locomotive",2,143,19.99,25,,,,673419060172,28.8,19.2,6,,"",0,0,0,,0,0,,,,,,,,,136.5700,48.5300,"01/07/2004","31/07/2006"
"10158-1","World City","Trains",2004,"High Speed Train Car",2,161,19.99,25,,,,673419060189,28.8,19.2,6,,"",0,0,0,,0,0,,,,,,,,,152.9300,80.3500,"01/07/2004","31/07/2006"
"10159-1","Town","Flight",2004,"City Airport",12,928,69.99,90,,,,673419061445,57.6,38.4,7.2,,"",0,0,0,,0,0,,,,,,,,,420.0000,194.8500,"15/10/2004","22/02/2006"
"10160-1","Bulk Bricks","",2004,"Black Ridge Tiles",,48,4.29,5.99,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,0.1800,11.1900,"",""
"10161-1","Bulk Bricks","",2004,"Black Roof Tiles",,76,4.29,5.99,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,14.9900,10.8000,"",""
"10162-1","Bulk Bricks","",2004,"Red Ridge Tiles",,48,,6,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,9.2600,12.8100,"",""
"10163-1","Bulk Bricks","",2004,"Red Roof Tiles",,76,,6,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,9.4900,9.3200,"",""
"10165-1","Seasonal","Christmas",2004,"Elf Boy",,27,1.99,2.5,,,,673419065269,14,14,0,,"",0,0,0,,0,0,,,,,,,,,2.4300,5.0000,"15/10/2004","31/12/2005"
"10167-1","Creator","Promotional",2004,"BrickMaster Welcome Kit",,180,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,26.5600,,"",""
"10202-1","Bionicle","Warriors",2004,"Ultimate Dume",,552,34.99,50,,,,673419056632,48,38.4,9.6,,"",0,0,0,,0,0,,,,,,,,,440.2400,151.3500,"01/08/2004","31/12/2004"
"65409-1","Bionicle","Product Collection",2004,"Bonus/Value Pack",,92,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"65410-1","Bionicle","Product Collection",2004,"Bonus/Value Pack",,92,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"65411-1","Bionicle","Product Collection",2004,"Bonus/Value Pack",,97,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"65412-1","Castle","Product Collection",2004,"Bonus/Value Pack",,91,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"65413-1","Castle","Product Collection",2004,"Bonus/Value Pack",,94,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"65414-1","Bionicle","Product Collection",2004,"Bonus/Value Pack",,54,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"65415-1","Bionicle","Product Collection",2004,"Bonus/Value Pack",,54,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"65416-1","Bionicle","Product Collection",2004,"Bonus/Value Pack",,57,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"65417-1","Racers","Product Collection",2004,"Bonus/Value Pack",,151,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"65419-1","Creator","Product Collection",2004,"Bonus/Value Pack",,169,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"65459-1","Bionicle","Product Collection",2004,"Bonus/Value Pack",,92,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"65460-1","Bionicle","Product Collection",2004,"Bonus/Value Pack",,94,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
